Feature,LightGBM
con_2_diff_max_mean_diff_ELEC,122
con_2_diff_mean_GAZ,0
con_2_diff_min_GAZ,0
con_2_diff_max_GAZ,0
con_2_diff_std_GAZ,0
con_2_diff_sum_GAZ,0
con_2_diff_range_GAZ,0
con_2_diff_max_mean_diff_GAZ,0
con_3_diff_mean_ELEC,75
con_3_diff_min_ELEC,77
con_3_diff_max_ELEC,50
con_3_diff_std_ELEC,117
con_3_diff_sum_ELEC,69
con_3_diff_range_ELEC,73
con_3_diff_max_mean_diff_ELEC,66
con_3_diff_mean_GAZ,0
con_3_diff_min_GAZ,0
con_3_diff_max_GAZ,0
con_3_diff_std_GAZ,0
con_3_diff_sum_GAZ,0
con_3_diff_range_GAZ,0
con_3_diff_max_mean_diff_GAZ,0
con_4_diff_mean_ELEC,36
con_4_diff_min_ELEC,67
con_4_diff_max_ELEC,38
con_4_diff_std_ELEC,61
con_4_diff_sum_ELEC,37
con_4_diff_range_ELEC,40
con_4_diff_max_mean_diff_ELEC,49
con_4_diff_mean_GAZ,0
con_4_diff_min_GAZ,0
con_4_diff_max_GAZ,0
con_4_diff_std_GAZ,0
con_4_diff_sum_GAZ,0
con_4_diff_range_GAZ,0
con_4_diff_max_mean_diff_GAZ,0
index_diff_diff_mean_ELEC,277
index_diff_diff_min_ELEC,258
index_diff_diff_max_ELEC,190
index_diff_diff_std_ELEC,207
index_diff_diff_sum_ELEC,294
index_diff_diff_range_ELEC,213
index_diff_diff_max_mean_diff_ELEC,218
index_diff_diff_mean_GAZ,88
index_diff_diff_min_GAZ,69
index_diff_diff_max_GAZ,44
index_diff_diff_std_GAZ,71
index_diff_diff_sum_GAZ,156
index_diff_diff_range_GAZ,44
index_diff_diff_max_mean_diff_GAZ,49
tarif_type_nunique_ELEC,24
tarif_type_mode_ELEC,13
tarif_type_nunique_GAZ,0
tarif_type_mode_GAZ,1
counter_number_nunique_ELEC,62
counter_number_mode_ELEC,374
counter_number_nunique_GAZ,1
counter_number_mode_GAZ,50
counter_statue_nunique_ELEC,40
counter_statue_mode_ELEC,0
counter_statue_nunique_GAZ,13
counter_statue_mode_GAZ,1
counter_code_nunique_ELEC,166
counter_code_mode_ELEC,396
counter_code_nunique_GAZ,1
counter_code_mode_GAZ,7
reading_remarque_nunique_ELEC,12
reading_remarque_mode_ELEC,18
reading_remarque_nunique_GAZ,9
reading_remarque_mode_GAZ,14
counter_coefficient_nunique_ELEC,0
counter_coefficient_mode_ELEC,0
counter_coefficient_nunique_GAZ,0
counter_coefficient_mode_GAZ,0
invoice_date_day_nunique_ELEC,207
invoice_date_day_mode_ELEC,367
invoice_date_day_nunique_GAZ,116
invoice_date_day_mode_GAZ,138
invoice_date_month_nunique_ELEC,192
invoice_date_month_mode_ELEC,244
invoice_date_month_nunique_GAZ,82
invoice_date_month_mode_GAZ,149
invoice_date_year_nunique_ELEC,65
invoice_date_year_mode_ELEC,469
invoice_date_year_nunique_GAZ,16
invoice_date_year_mode_GAZ,130
Invoice_Count_ELEC,183
Invoice_Count_GAZ,88
date_range_ELEC,225
date_range_GAZ,106
Tarif_Type_10_ELEC,77
Tarif_Type_11_ELEC,118
Tarif_Type_12_ELEC,12
Tarif_Type_13_ELEC,4
Tarif_Type_14_ELEC,0
Tarif_Type_15_ELEC,80
Tarif_Type_18_ELEC,0
Tarif_Type_21_ELEC,0
Tarif_Type_24_ELEC,0
Tarif_Type_27_ELEC,0
Tarif_Type_29_ELEC,50
Tarif_Type_30_GAZ,0
Tarif_Type_40_GAZ,1
Tarif_Type_42_GAZ,0
Tarif_Type_45_GAZ,3
Tarif_Type_8_ELEC,0
Tarif_Type_9_ELEC,103
Statue_0_ELEC,207
Statue_0_GAZ,40
Statue_1_ELEC,120
Statue_1_GAZ,67
Statue_2_ELEC,0
Statue_2_GAZ,0
Statue_3_ELEC,0
Statue_3_GAZ,0
Statue_4_ELEC,51
Statue_4_GAZ,0
Statue_5_ELEC,177
Statue_5_GAZ,25
Code_101_ELEC,0
Code_102_ELEC,0
Code_10_GAZ,7
Code_16_GAZ,0
Code_201_ELEC,24
Code_202_ELEC,57
Code_203_ELEC,140
Code_204_ELEC,146
Code_207_ELEC,383
Code_210_ELEC,0
Code_214_ELEC,0
Code_222_ELEC,0
Code_227_ELEC,0
Code_25_GAZ,0
Code_303_ELEC,0
Code_305_ELEC,0
Code_307_ELEC,0
Code_310_ELEC,0
Code_317_ELEC,0
Code_325_ELEC,0
Code_333_ELEC,0
Code_367_ELEC,0
Code_403_ELEC,0
Code_407_ELEC,58
Code_40_GAZ,0
Code_410_ELEC,17
Code_413_ELEC,111
Code_420_ELEC,70
Code_433_ELEC,15
Code_442_ELEC,18
Code_450_ELEC,0
Code_453_ELEC,0
Code_467_ELEC,3
Code_483_ELEC,0
Code_506_ELEC,2
Code_532_ELEC,0
Code_565_ELEC,0
Code_5_GAZ,9
Code_600_ELEC,0
Code_65_GAZ,0
Rem_6_ELEC,427
Rem_6_GAZ,139
Rem_7_ELEC,0
Rem_7_GAZ,0
Rem_8_ELEC,376
Rem_8_GAZ,152
Rem_9_ELEC,356
Rem_9_GAZ,150
consumption_diff_sum,200
consumption_diff_mean,322
tenure_days,321
invoice_freq,408
daily_consumption,286
first_invoice_gap_ELEC,457
last_invoice_gap_ELEC,267
first_invoice_gap_GAZ,192
last_invoice_gap_GAZ,127
