iter	Logloss
0	0.6894179014
1	0.6849153914
2	0.6808651429
3	0.6766411288
4	0.67296206
5	0.6691879343
6	0.6658973882
7	0.662621703
8	0.6595323825
9	0.65609645
10	0.6532543299
11	0.6499663262
12	0.6469188582
13	0.6441190647
14	0.6412500112
15	0.638456883
16	0.6362038091
17	0.6336449673
18	0.6316472771
19	0.6293138746
20	0.6269647377
21	0.624985307
22	0.6231684964
23	0.6212867728
24	0.6191337012
25	0.6175227363
26	0.6158170383
27	0.6142050223
28	0.612078551
29	0.6104818702
30	0.608878107
31	0.6073611831
32	0.6058569189
33	0.6035953138
34	0.6022159832
35	0.6004821953
36	0.5989004166
37	0.5976335173
38	0.5959966365
39	0.5946694723
40	0.5934929237
41	0.5923932929
42	0.5912544117
43	0.5901575243
44	0.5889749423
45	0.5876723369
46	0.5868038735
47	0.5857933229
48	0.5848729742
49	0.5838765929
50	0.5827007708
51	0.5818108182
52	0.5809590696
53	0.5800064906
54	0.5788106699
55	0.5773922596
56	0.5765900459
57	0.5756301697
58	0.5747926727
59	0.5738858227
60	0.5730736232
61	0.5723111971
62	0.5717299142
63	0.5707169148
64	0.5700424601
65	0.5692035655
66	0.5686251229
67	0.5680751393
68	0.5675009327
69	0.5669347858
70	0.5663049841
71	0.5654058931
72	0.564834392
73	0.5643469373
74	0.5636899775
75	0.5632028828
76	0.5623701646
77	0.5619340532
78	0.5613996113
79	0.5607991147
80	0.5601596414
81	0.5596330526
82	0.5591424829
83	0.5585704017
84	0.5581758719
85	0.5573661268
86	0.5568265499
87	0.5563139244
88	0.5558476834
89	0.5554330377
90	0.5547352029
91	0.554235602
92	0.55376899
93	0.5531354113
94	0.5527539112
95	0.5521660703
96	0.551608267
97	0.5512064723
98	0.5508040464
99	0.5505209519
100	0.5502083459
101	0.5497884578
102	0.5495331833
103	0.5491858204
104	0.5489205997
105	0.5486181407
106	0.5482289585
107	0.5479753194
108	0.5474017359
109	0.5471693242
110	0.5467817849
111	0.5465209077
112	0.5462666769
113	0.5460311222
114	0.5457274331
115	0.5454642253
116	0.5451765416
117	0.544916194
118	0.5446736348
119	0.5444110294
120	0.5441888151
121	0.5439175598
122	0.5436911721
123	0.543457541
124	0.543162734
125	0.5429977135
126	0.5428007198
127	0.5425499255
128	0.5423010605
129	0.5420741067
130	0.5418572723
131	0.5416618075
132	0.5414764899
133	0.541165501
134	0.5409235798
135	0.540760388
136	0.5404515555
137	0.5402921694
138	0.5400764196
139	0.5399055164
140	0.5395362035
141	0.5393676999
142	0.5389694042
143	0.5386855211
144	0.5384568454
145	0.5380743773
146	0.5379236002
147	0.5377326799
148	0.5375307831
149	0.5373612622
150	0.5372107707
151	0.537018208
152	0.5368831197
153	0.5366574589
154	0.5365004891
155	0.5363410788
156	0.5361713058
157	0.5360064837
158	0.5358094053
159	0.535641753
160	0.5354423331
161	0.5351863994
162	0.5350095398
163	0.534829825
164	0.5347135171
165	0.5345265013
166	0.5343300927
167	0.5342201353
168	0.5339879019
169	0.533853785
170	0.5337436172
171	0.5335683109
172	0.5334647138
173	0.5332274625
174	0.5330930884
175	0.532916462
176	0.532741422
177	0.5325639707
178	0.5324796202
